id,value,style,source,target,type
200,User,shape=partialRectangle,null,null,data_base
201,Certain File,shape=partialRectangle,null,null,data_base
202,Access,shape=partialRectangle,null,null,data_base
203,Inventory,shape=partialRectangle,null,null,data_base
204,Archivist,rounded=0,null,null,external_entity
205,Restrict Access To Certain Files By User,ellipse,null,null,process
206,Upload Inventories,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,Access,endArrow=classic,205,202,endArrow=classic
211,Certain File,endArrow=classic,205,201,endArrow=classic
212,User,endArrow=classic,205,200,endArrow=classic
213,Inventory,endArrow=classic,206,203,endArrow=classic
