id,value,style,source,target,type
42,Assist researchers.,ellipse,null,null,process
43,Use them in immediate and future in talks and articles.,ellipse,null,null,process
44,Find everything relevant to my inquiry across collections.,ellipse,null,null,process
45,Locate digitized documents relevant to my research.,ellipse,null,null,process
46,Locate diary entries relevant to my research.,ellipse,null,null,process
200,Photo,shape=partialRectangle,null,null,data_base
201,Document,shape=partialRectangle,null,null,data_base
202,Report,shape=partialRectangle,null,null,data_base
203,File,shape=partialRectangle,null,null,data_base
204,Common Material,shape=partialRectangle,null,null,data_base
205,Collection,shape=partialRectangle,null,null,data_base
206,Folder,shape=partialRectangle,null,null,data_base
207,Publication,shape=partialRectangle,null,null,data_base
208,Researcher,shape=partialRectangle,null,null,data_base
209,Citation,shape=partialRectangle,null,null,data_base
210,Donor,shape=partialRectangle,null,null,data_base
211,Available Right,shape=partialRectangle,null,null,data_base
212,Information,shape=partialRectangle,null,null,data_base
213,Visual,shape=partialRectangle,null,null,data_base
214,Password,shape=partialRectangle,null,null,data_base
215,Link,shape=partialRectangle,null,null,data_base
216,Social Medium,shape=partialRectangle,null,null,data_base
217,Image,shape=partialRectangle,null,null,data_base
218,Digital Object,shape=partialRectangle,null,null,data_base
219,Notification,shape=partialRectangle,null,null,data_base
220,Web Browser,shape=partialRectangle,null,null,data_base
221,Video,shape=partialRectangle,null,null,data_base
222,Audio File,shape=partialRectangle,null,null,data_base
223,Common Format,shape=partialRectangle,null,null,data_base
224,Descriptive Datum,shape=partialRectangle,null,null,data_base
225,Keyword,shape=partialRectangle,null,null,data_base
226,Structured Datum,shape=partialRectangle,null,null,data_base
227,Mediation,shape=partialRectangle,null,null,data_base
228,"Archival ,\nDigitized Material",shape=partialRectangle,null,null,data_base
229,Specific File,shape=partialRectangle,null,null,data_base
230,Question,shape=partialRectangle,null,null,data_base
231,Date,shape=partialRectangle,null,null,data_base
232,Program Rf\nOfficer,shape=partialRectangle,null,null,data_base
233,Scan Diary,shape=partialRectangle,null,null,data_base
234,Search,shape=partialRectangle,null,null,data_base
235,Working Paper,shape=partialRectangle,null,null,data_base
