id,value,style,source,target,type
3,Find everything relevant to my inquiry across collections,ellipse,null,null,process
200,Structured Datum,shape=partialRectangle,null,null,data_base
201,Researcher,rounded=0,null,null,external_entity
202,Search,ellipse,null,null,process
203,Using Structured Data,ellipse,null,null,process
205,,endArrow=classic,201,202,endArrow=classic
206,,endArrow=classic,201,203,endArrow=classic
207,,endArrow=classic,202,203,endArrow=classic
208,Structured Datum,endArrow=classic,203,200,endArrow=classic
1000,,endArrow=classic,202,3,endArrow=classic
1001,Inquiry,rounded=0,null,null,external_entity
1002,Inquiry,endArrow=classic,3,1001,endArrow=classic
