id,value,style,source,target,type
200,Versioning,shape=partialRectangle,null,null,data_base
201,Faq,shape=partialRectangle,null,null,data_base
202,Etc,shape=partialRectangle,null,null,data_base
203,Extension Brochure,shape=partialRectangle,null,null,data_base
204,Faculty Member,rounded=0,null,null,external_entity
205,Maintain Versioning Of Faq,ellipse,null,null,process
206,Maintain Versioning Of Etc,ellipse,null,null,process
207,Maintain Versioning Of Extension Brochures,ellipse,null,null,process
209,,endArrow=classic,204,205,endArrow=classic
210,,endArrow=classic,204,206,endArrow=classic
211,,endArrow=classic,204,207,endArrow=classic
212,Faq,endArrow=classic,205,201,endArrow=classic
213,Versioning,endArrow=classic,205,200,endArrow=classic
214,Etc,endArrow=classic,206,202,endArrow=classic
215,Versioning,endArrow=classic,206,200,endArrow=classic
216,Versioning,endArrow=classic,207,200,endArrow=classic
217,Extension Brochure,endArrow=classic,207,203,endArrow=classic
