id,value,style,source,target,type
200,Repository,shape=partialRectangle,null,null,data_base
201,System,shape=partialRectangle,null,null,data_base
202,Symplectic Element,shape=partialRectangle,null,null,data_base
203,Activity Insight,shape=partialRectangle,null,null,data_base
204,"Scholarly ,\nFaculty Output",shape=partialRectangle,null,null,data_base
205,Digestible Way,shape=partialRectangle,null,null,data_base
206,Faculty,shape=partialRectangle,null,null,data_base
207,Information,shape=partialRectangle,null,null,data_base
208,Specific Project,shape=partialRectangle,null,null,data_base
209,Nys,shape=partialRectangle,null,null,data_base
210,Resource,shape=partialRectangle,null,null,data_base
211,"Available ,\nGeographic Area",shape=partialRectangle,null,null,data_base
212,Educator,shape=partialRectangle,null,null,data_base
213,Tracking Statistic,shape=partialRectangle,null,null,data_base
214,Administrator,rounded=0,null,null,external_entity
215,Researcher,rounded=0,null,null,external_entity
216,Extension Administrator,rounded=0,null,null,external_entity
217,Use Systems Such As Activity Insight,ellipse,null,null,process
218,Use Systems Such As Symplectic Elements,ellipse,null,null,process
219,"Track Scholarly, Faculty Output In The Repositories",ellipse,null,null,process
220,See Comprehensive Tracking Statistics Presented To Faculty In A Digestible Way,ellipse,null,null,process
221,Have Information Help Identify Other Faculty,ellipse,null,null,process
222,Make Resources Developed For Specific Projects,ellipse,null,null,process
223,"Make Resources Developed For Available, Geographic Area To Other Faculty Across Nys",ellipse,null,null,process
224,"Make Resources Developed For Available, Geographic Area To Educator",ellipse,null,null,process
226,,endArrow=classic,214,217,endArrow=classic
227,,endArrow=classic,214,218,endArrow=classic
228,,endArrow=classic,214,219,endArrow=classic
229,,endArrow=classic,214,220,endArrow=classic
230,,endArrow=classic,215,221,endArrow=classic
231,,endArrow=classic,216,222,endArrow=classic
232,,endArrow=classic,216,223,endArrow=classic
233,,endArrow=classic,216,224,endArrow=classic
234,Activity Insight,endArrow=classic,217,203,endArrow=classic
235,System,endArrow=classic,217,201,endArrow=classic
236,,endArrow=classic,218,219,endArrow=classic
237,System,endArrow=classic,218,201,endArrow=classic
238,Symplectic Element,endArrow=classic,218,202,endArrow=classic
239,"Scholarly ,\nFaculty Output",endArrow=classic,219,204,endArrow=classic
240,Repository,endArrow=classic,219,200,endArrow=classic
241,Tracking Statistic,endArrow=classic,220,213,endArrow=classic
242,Faculty,endArrow=classic,220,206,endArrow=classic
243,Digestible Way,endArrow=classic,220,205,endArrow=classic
244,Information,endArrow=classic,221,207,endArrow=classic
245,Faculty,endArrow=classic,221,206,endArrow=classic
246,Resource,endArrow=classic,222,210,endArrow=classic
247,Specific Project,endArrow=classic,222,208,endArrow=classic
248,"Available ,\nGeographic Area",endArrow=classic,223,211,endArrow=classic
249,Nys,endArrow=classic,223,209,endArrow=classic
250,Resource,endArrow=classic,223,210,endArrow=classic
251,Faculty,endArrow=classic,223,206,endArrow=classic
252,Educator,endArrow=classic,224,212,endArrow=classic
253,"Available ,\nGeographic Area",endArrow=classic,224,211,endArrow=classic
254,Resource,endArrow=classic,224,210,endArrow=classic
