id,value,style,source,target,type
200,Work,shape=partialRectangle,null,null,data_base
201,Repository,shape=partialRectangle,null,null,data_base
202,Student,shape=partialRectangle,null,null,data_base
203,Dissertation,shape=partialRectangle,null,null,data_base
204,"Cornell , Faculty Member",rounded=0,null,null,external_entity
205,Search For The Dissertations In The Repository,ellipse,null,null,process
206,Find Work By A Former Student,ellipse,null,null,process
208,,endArrow=classic,204,205,endArrow=classic
209,,endArrow=classic,204,206,endArrow=classic
210,,endArrow=classic,205,206,endArrow=classic
211,Dissertation,endArrow=classic,205,203,endArrow=classic
212,Repository,endArrow=classic,205,201,endArrow=classic
213,Work,endArrow=classic,206,200,endArrow=classic
214,Student,endArrow=classic,206,202,endArrow=classic
