id,value,style,source,target,type
52,Ensure continued access to said content.,ellipse,null,null,process
53,Deliver such content in the manner best fit to the audience or occasion.,ellipse,null,null,process
200,Access Embargo,shape=partialRectangle,null,null,data_base
201,Item,shape=partialRectangle,null,null,data_base
202,Analytic,shape=partialRectangle,null,null,data_base
203,Useful Statistic,shape=partialRectangle,null,null,data_base
204,Comprehensive,shape=partialRectangle,null,null,data_base
205,Altmetric,shape=partialRectangle,null,null,data_base
206,Collection,shape=partialRectangle,null,null,data_base
207,Repository,shape=partialRectangle,null,null,data_base
208,Author,shape=partialRectangle,null,null,data_base
209,Rare Material,shape=partialRectangle,null,null,data_base
210,Archival,shape=partialRectangle,null,null,data_base
211,System,shape=partialRectangle,null,null,data_base
212,Digital Item,shape=partialRectangle,null,null,data_base
213,Material,shape=partialRectangle,null,null,data_base
214,Behalf,shape=partialRectangle,null,null,data_base
215,Metadata,shape=partialRectangle,null,null,data_base
216,Description,shape=partialRectangle,null,null,data_base
217,Subscribable Flag,shape=partialRectangle,null,null,data_base
218,Document Title,shape=partialRectangle,null,null,data_base
219,Subject Area,shape=partialRectangle,null,null,data_base
220,Keyword,shape=partialRectangle,null,null,data_base
221,Document Type,shape=partialRectangle,null,null,data_base
222,Release Frequency,shape=partialRectangle,null,null,data_base
223,Status,shape=partialRectangle,null,null,data_base
224,File Location,shape=partialRectangle,null,null,data_base
225,Descriptive Metadata,shape=partialRectangle,null,null,data_base
226,Etc,shape=partialRectangle,null,null,data_base
227,Supplementary File,shape=partialRectangle,null,null,data_base
228,Slideshow,shape=partialRectangle,null,null,data_base
229,Dataset,shape=partialRectangle,null,null,data_base
230,Stream Medium,shape=partialRectangle,null,null,data_base
231,", Collection",shape=partialRectangle,null,null,data_base
232,Deposit,shape=partialRectangle,null,null,data_base
233,Content,shape=partialRectangle,null,null,data_base
234,Web Page,shape=partialRectangle,null,null,data_base
235,Upload Metadata,shape=partialRectangle,null,null,data_base
236,"Upload ,\nCorrect Document",shape=partialRectangle,null,null,data_base
237,Revision,shape=partialRectangle,null,null,data_base
238,Reason,shape=partialRectangle,null,null,data_base
239,Error,shape=partialRectangle,null,null,data_base
240,Quick Response,shape=partialRectangle,null,null,data_base
241,Reasonable Resolution,shape=partialRectangle,null,null,data_base
242,Certain Collection,shape=partialRectangle,null,null,data_base
243,Field,shape=partialRectangle,null,null,data_base
244,Robust Manner,shape=partialRectangle,null,null,data_base
245,Revisor,shape=partialRectangle,null,null,data_base
246,Cornell,shape=partialRectangle,null,null,data_base
247,Researcher,shape=partialRectangle,null,null,data_base
248,Sharing,shape=partialRectangle,null,null,data_base
249,Research,shape=partialRectangle,null,null,data_base
250,Rot,shape=partialRectangle,null,null,data_base
251,Law School,shape=partialRectangle,null,null,data_base
252,Usage Statistic,shape=partialRectangle,null,null,data_base
253,Search Capability,shape=partialRectangle,null,null,data_base
254,Tech Support\nIssue,shape=partialRectangle,null,null,data_base
255,Custom,shape=partialRectangle,null,null,data_base
256,"Library , Staff Member",rounded=0,null,null,external_entity
257,Apply An Access Embargo To An Item,ellipse,null,null,process
258,Remove An Access Embargo To An Item,ellipse,null,null,process
259,Access Useful Statistics Including Altmetrics At Item Level,ellipse,null,null,process
260,Access Useful Statistics Including Altmetrics At Collection,ellipse,null,null,process
261,Access Comprehensive,ellipse,null,null,process
262,Access Useful Statistics Including Altmetrics At Author,ellipse,null,null,process
263,Access Analytic,ellipse,null,null,process
264,Access Useful Usage Statistics Including Altmetrics At The Repository,ellipse,null,null,process
265,Create Collections Highlight,ellipse,null,null,process
266,Endanger,ellipse,null,null,process
267,Create Collections Highlight Rare Material,ellipse,null,null,process
268,Create Collections Highlight Archival,ellipse,null,null,process
