id,value,style,source,target,type
200,Oai,shape=partialRectangle,null,null,data_base
201,Repository,shape=partialRectangle,null,null,data_base
202,Useful Metadata,shape=partialRectangle,null,null,data_base
203,Librarydiscoveryoperator,rounded=0,null,null,external_entity
204,Harvest Useful Metadata From The Repository Via Oai,ellipse,null,null,process
205,Do,ellipse,null,null,process
206,Continue,ellipse,null,null,process
208,,endArrow=classic,203,204,endArrow=classic
209,Useful Metadata,endArrow=classic,204,202,endArrow=classic
210,Repository,endArrow=classic,204,201,endArrow=classic
211,Oai,endArrow=classic,204,200,endArrow=classic
212,,endArrow=classic,206,205,endArrow=classic
