id,value,style,source,target,type
18,Learn more about my research.,ellipse,null,null,process
19,Display the range and extent of my work graphically.,ellipse,null,null,process
200,Date,shape=partialRectangle,null,null,data_base
201,Department,shape=partialRectangle,null,null,data_base
202,Topic,shape=partialRectangle,null,null,data_base
203,Research,shape=partialRectangle,null,null,data_base
204,Cornell,shape=partialRectangle,null,null,data_base
205,School,shape=partialRectangle,null,null,data_base
206,Item,shape=partialRectangle,null,null,data_base
207,Repository,shape=partialRectangle,null,null,data_base
208,Library,shape=partialRectangle,null,null,data_base
209,Google,shape=partialRectangle,null,null,data_base
210,Pdf,shape=partialRectangle,null,null,data_base
211,Descriptive Metadata,shape=partialRectangle,null,null,data_base
212,Work,shape=partialRectangle,null,null,data_base
213,Author,shape=partialRectangle,null,null,data_base
214,Update,shape=partialRectangle,null,null,data_base
215,Subset,shape=partialRectangle,null,null,data_base
216,Collection,shape=partialRectangle,null,null,data_base
217,Effective Manner,shape=partialRectangle,null,null,data_base
218,Information,shape=partialRectangle,null,null,data_base
219,Faculty,shape=partialRectangle,null,null,data_base
220,Interactive Map,shape=partialRectangle,null,null,data_base
221,Researcher,shape=partialRectangle,null,null,data_base
222,Dmps,shape=partialRectangle,null,null,data_base
223,Sharing,shape=partialRectangle,null,null,data_base
224,System,shape=partialRectangle,null,null,data_base
225,Deposit,shape=partialRectangle,null,null,data_base
226,Search Capability,shape=partialRectangle,null,null,data_base
227,Metadata Field,shape=partialRectangle,null,null,data_base
228,Discovery,shape=partialRectangle,null,null,data_base
229,Researcher,rounded=0,null,null,external_entity
230,"Library , Staff Member",rounded=0,null,null,external_entity
231,Stay Up To Date On Research To A Given Topic At Cornell Including Those In Other Departments,ellipse,null,null,process
232,Stay Up To Date On Research To A Given Topic At Cornell Including Those In School,ellipse,null,null,process
233,Discover Items In The Repository Through The Library's Discovery System,ellipse,null,null,process
234,Discover Items In The Repository Through Google,ellipse,null,null,process
235,See Descriptive Metadata For The Item,ellipse,null,null,process
236,Come To The Item Through The Repository,ellipse,null,null,process
237,Come To The Item Directly To The Pdf,ellipse,null,null,process
238,Contact The Author Of A Work Interests,ellipse,null,null,process
239,Receive Updates,ellipse,null,null,process
240,Search Within Collection,ellipse,null,null,process
241,Search Within A Repository In An Effective Manner Searching Within Subsets Of A Given Collection,ellipse,null,null,process
242,Have Information Help Identify Other Faculty,ellipse,null,null,process
243,Promote Work Through Interactive Maps,ellipse,null,null,process
244,Share Work Through Interactive Maps,ellipse,null,null,process
245,Tell The Researchers,ellipse,null,null,process
246,Allow For Better Search Capabilities,ellipse,null,null,process
247,Add Custom Metadata Fields For Deposits,ellipse,null,null,process
249,,endArrow=classic,229,231,endArrow=classic
250,,endArrow=classic,229,232,endArrow=classic
251,,endArrow=classic,229,233,endArrow=classic
252,,endArrow=classic,229,234,endArrow=classic
253,,endArrow=classic,229,235,endArrow=classic
254,,endArrow=classic,229,236,endArrow=classic
255,,endArrow=classic,229,238,endArrow=classic
256,,endArrow=classic,229,239,endArrow=classic
257,,endArrow=classic,229,240,endArrow=classic
258,,endArrow=classic,229,241,endArrow=classic
259,,endArrow=classic,229,242,endArrow=classic
260,,endArrow=classic,229,243,endArrow=classic
261,,endArrow=classic,229,244,endArrow=classic
262,,endArrow=classic,230,245,endArrow=classic
263,,endArrow=classic,230,246,endArrow=classic
264,,endArrow=classic,230,247,endArrow=classic
