id,value,style,source,target,type
200,"Suitable ,\nTimely Research",shape=partialRectangle,null,null,data_base
201,New Research,shape=partialRectangle,null,null,data_base
202,Curriculum,shape=partialRectangle,null,null,data_base
203,Content,shape=partialRectangle,null,null,data_base
204,Use,shape=partialRectangle,null,null,data_base
205,Relevant,shape=partialRectangle,null,null,data_base
206,Teachingfacultymember,rounded=0,null,null,external_entity
207,Identify Relevant,ellipse,null,null,process
208,"Notified Identify Suitable, Timely Research For Use In Curriculum Of New Research",ellipse,null,null,process
209,"Notified Identify Suitable, Timely Research For Use In Curriculum Of Content",ellipse,null,null,process
211,,endArrow=classic,206,207,endArrow=classic
212,,endArrow=classic,206,208,endArrow=classic
213,,endArrow=classic,206,209,endArrow=classic
214,Relevant,endArrow=classic,207,205,endArrow=classic
215,"Suitable ,\nTimely Research",endArrow=classic,208,200,endArrow=classic
216,Use,endArrow=classic,208,204,endArrow=classic
217,Curriculum,endArrow=classic,208,202,endArrow=classic
218,New Research,endArrow=classic,208,201,endArrow=classic
219,Content,endArrow=classic,209,203,endArrow=classic
220,"Suitable ,\nTimely Research",endArrow=classic,209,200,endArrow=classic
221,Curriculum,endArrow=classic,209,202,endArrow=classic
222,Use,endArrow=classic,209,204,endArrow=classic
