id,value,style,source,target,type
200,Way,shape=partialRectangle,null,null,data_base
201,Gb,shape=partialRectangle,null,null,data_base
202,Repository File,shape=partialRectangle,null,null,data_base
203,"Cornell , Faculty Member",rounded=0,null,null,external_entity
204,Want,ellipse,null,null,process
205,Use Users,ellipse,null,null,process
206,Share On The Repository Files Are Larger Than Gb In A Way Still Allows,ellipse,null,null,process
207,Download Users,ellipse,null,null,process
209,,endArrow=classic,203,204,endArrow=classic
210,,endArrow=classic,203,205,endArrow=classic
211,,endArrow=classic,203,206,endArrow=classic
212,,endArrow=classic,203,207,endArrow=classic
213,,endArrow=classic,204,205,endArrow=classic
214,,endArrow=classic,204,207,endArrow=classic
215,,endArrow=classic,206,204,endArrow=classic
216,Repository File,endArrow=classic,206,202,endArrow=classic
217,Gb,endArrow=classic,206,201,endArrow=classic
218,Way,endArrow=classic,206,200,endArrow=classic
