id,value,style,source,target,type
200,Talk,shape=partialRectangle,null,null,data_base
201,Picture,shape=partialRectangle,null,null,data_base
202,Comment,shape=partialRectangle,null,null,data_base
203,Automated Analysis,shape=partialRectangle,null,null,data_base
204,Classifiable Animal,shape=partialRectangle,null,null,data_base
205,Case,shape=partialRectangle,null,null,data_base
206,Malfunction,shape=partialRectangle,null,null,data_base
207,Snapshot Serengeti,shape=partialRectangle,null,null,data_base
208,Plankton,shape=partialRectangle,null,null,data_base
209,Localization,shape=partialRectangle,null,null,data_base
210,Classifiable Plankton,shape=partialRectangle,null,null,data_base
211,Orientation,shape=partialRectangle,null,null,data_base
212,Worm,shape=partialRectangle,null,null,data_base
213,Time,shape=partialRectangle,null,null,data_base
214,Egg,shape=partialRectangle,null,null,data_base
215,Area,shape=partialRectangle,null,null,data_base
216,Temporary Shelter,shape=partialRectangle,null,null,data_base
217,Damage,shape=partialRectangle,null,null,data_base
218,Flooding,shape=partialRectangle,null,null,data_base
219,Important Feature,shape=partialRectangle,null,null,data_base
220,Experience,shape=partialRectangle,null,null,data_base
221,Volunteer,shape=partialRectangle,null,null,data_base
222,Classification,shape=partialRectangle,null,null,data_base
223,Weight,shape=partialRectangle,null,null,data_base
224,Artefact,shape=partialRectangle,null,null,data_base
225,Bright Star,shape=partialRectangle,null,null,data_base
226,Prefiltering,shape=partialRectangle,null,null,data_base
227,Camera,shape=partialRectangle,null,null,data_base
228,Read Error,shape=partialRectangle,null,null,data_base
229,Number,shape=partialRectangle,null,null,data_base
230,"Audio ,\nSingle File",shape=partialRectangle,null,null,data_base
231,Whale,shape=partialRectangle,null,null,data_base
232,Text,shape=partialRectangle,null,null,data_base
233,Video,shape=partialRectangle,null,null,data_base
234,Interesting Comment,shape=partialRectangle,null,null,data_base
235,Subject,shape=partialRectangle,null,null,data_base
236,Explanation,shape=partialRectangle,null,null,data_base
237,Previous Experience,shape=partialRectangle,null,null,data_base
238,Different Project,shape=partialRectangle,null,null,data_base
239,Transient,shape=partialRectangle,null,null,data_base
240,Object,shape=partialRectangle,null,null,data_base
241,Audio File,shape=partialRectangle,null,null,data_base
242,Sound,shape=partialRectangle,null,null,data_base
243,Background Noise,shape=partialRectangle,null,null,data_base
244,Similarity,shape=partialRectangle,null,null,data_base
245,Animal Species\nPreclassification,shape=partialRectangle,null,null,data_base
246,Animal Attribute\nPreclassification,shape=partialRectangle,null,null,data_base
247,Roads Etc,shape=partialRectangle,null,null,data_base
248,Serengeti,shape=partialRectangle,null,null,data_base
249,Animal,shape=partialRectangle,null,null,data_base
250,Satellite,shape=partialRectangle,null,null,data_base
251,Group,shape=partialRectangle,null,null,data_base
252,Zooniverse Admin,rounded=0,null,null,external_entity
253,Assess,ellipse,null,null,process
254,Detect,ellipse,null,null,process
255,Preclassify,ellipse,null,null,process
256,Use Simple Image Features,ellipse,null,null,process
257,Detect Snapshot Serengeti Images With No Classifiable Animals In Snapshot Serengeti Images,ellipse,null,null,process
258,Perform Automatic Image Series Detection For The Case Timestamping Malfunction In Snapshot Serengeti Images,ellipse,null,null,process
259,Perform Automatic Animal Species Preclassification In Snapshot Serengeti,ellipse,null,null,process
260,Perform Automatic Animal Attribute Preclassification In Snapshot Serengeti,ellipse,null,null,process
261,Perform Automatic Animal Number Detection In Snapshot Serengeti,ellipse,null,null,process
262,Perform Automatic Segmentation Of Plankton In,ellipse,null,null,process
263,Perform Localization,ellipse,null,null,process
264,Detect Plankton Portal Images With No Classifiable Plankton In,ellipse,null,null,process
265,Perform Automatic Detection Of Plankton Size In Plankton Portal Images,ellipse,null,null,process
266,Perform Automatic Detection Of Orientation,ellipse,null,null,process
267,Perform Automatic Preclassification Of Plankton Species In Plankton Portal Images,ellipse,null,null,process
268,Perform Automatic Worm Motion Analysis,ellipse,null,null,process
269,Reduce Video Duration In Worm Watch Lab,ellipse,null,null,process
270,Detect The Time In A Worm Watch Lab Video The Worm Where Lays An Egg,ellipse,null,null,process
271,Detect Important Features Such As Areas Of Blocked Roads Etc,ellipse,null,null,process
272,Detect Important Features Such As Areas Of Temporary Shelter,ellipse,null,null,process
273,Detect Important Features Such As Areas Of Flooding In The Satellite Images,ellipse,null,null,process
274,Detect Important Features Such As Areas Of Damage,ellipse,null,null,process
275,Assess The Probability Of A Volunteer’s Classification On Experience,ellipse,null,null,process
276,Assess Weight,ellipse,null,null,process
277,Perform Prefiltering Of The Images,ellipse,null,null,process
