id,value,style,source,target,type
200,Content Similarity,shape=partialRectangle,null,null,data_base
201,Music,shape=partialRectangle,null,null,data_base
202,Ringback,shape=partialRectangle,null,null,data_base
203,"Similar ,\nMusic Tone",shape=partialRectangle,null,null,data_base
204,User,rounded=0,null,null,external_entity
205,Search Similar Ringback Tone To A Given Music Video On Content Similarity,ellipse,null,null,process
206,Search Music,ellipse,null,null,process
207,Discover Ringback,ellipse,null,null,process
208,"Discover Similar, Music Tones To A Given Music Video On Content Similarity",ellipse,null,null,process
210,,endArrow=classic,204,205,endArrow=classic
211,,endArrow=classic,204,206,endArrow=classic
212,,endArrow=classic,204,207,endArrow=classic
213,,endArrow=classic,204,208,endArrow=classic
214,Content Similarity,endArrow=classic,205,200,endArrow=classic
215,Music,endArrow=classic,206,201,endArrow=classic
216,Ringback,endArrow=classic,207,202,endArrow=classic
217,"Similar ,\nMusic Tone",endArrow=classic,208,203,endArrow=classic
218,Content Similarity,endArrow=classic,208,200,endArrow=classic
219,Music,endArrow=classic,208,201,endArrow=classic
